order_id,customer_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,first_order_flag,basket_size,unique_aisles,unique_departments,reordered_items,new_to_customer_items,reorder_share,new_to_customer_share,avg_add_to_cart_order,max_add_to_cart_order
54,91977,2,3,15,30.0,0,7,6,5,0,7,0.0,1.0,4.0,7
55,127522,8,4,14,5.0,0,22,14,10,8,14,0.36363636363636365,0.6363636363636364,11.5,22
56,41591,8,0,12,2.0,0,10,10,6,7,3,0.7,0.3,5.5,10
57,34016,1,6,8,,1,7,4,3,0,7,0.0,1.0,4.0,7
58,150647,9,3,8,7.0,0,6,4,3,5,1,0.8333333333333334,0.16666666666666666,3.5,6
59,137346,8,1,19,11.0,0,3,1,1,3,0,1.0,0.0,2.0,3
60,66984,9,0,10,6.0,0,18,11,6,15,3,0.8333333333333334,0.16666666666666666,9.5,18
61,12295,2,1,9,7.0,0,12,9,4,11,1,0.9166666666666666,0.08333333333333333,6.5,12
62,189943,4,0,11,7.0,0,7,6,4,2,5,0.2857142857142857,0.7142857142857143,4.0,7
63,122048,21,0,13,4.0,0,10,8,8,3,7,0.3,0.7,5.5,10
64,5430,8,0,16,6.0,0,5,5,4,5,0,1.0,0.0,3.0,5
65,26599,9,2,10,11.0,0,3,2,2,2,1,0.6666666666666666,0.3333333333333333,2.0,3
66,83434,15,0,15,5.0,0,6,6,5,5,1,0.8333333333333334,0.16666666666666666,3.5,6
67,5738,4,3,12,6.0,0,8,7,6,6,2,0.75,0.25,4.5,8
68,96594,3,3,10,30.0,0,9,8,5,6,3,0.6666666666666666,0.3333333333333333,5.0,9
69,115481,16,3,12,3.0,0,11,6,5,8,3,0.7272727272727273,0.2727272727272727,6.0,11
70,128213,2,6,15,4.0,0,4,4,4,1,3,0.25,0.75,2.5,4
71,69984,20,1,13,11.0,0,10,8,6,6,4,0.6,0.4,5.5,10
72,199522,11,1,19,25.0,0,11,7,4,8,3,0.7272727272727273,0.2727272727272727,6.0,11
73,152590,13,0,12,0.0,0,4,4,3,3,1,0.75,0.25,2.5,4
74,3321,31,5,21,14.0,0,11,8,7,11,0,1.0,0.0,6.0,11
75,106387,1,5,19,,1,16,15,9,0,16,0.0,1.0,8.5,16
76,75136,5,1,19,30.0,0,5,4,2,1,4,0.2,0.8,3.0,5
77,91667,19,1,11,5.0,0,21,11,9,11,10,0.5238095238095238,0.47619047619047616,11.0,21
78,96511,3,2,15,15.0,0,5,5,4,1,4,0.2,0.8,3.0,5
79,197745,94,6,15,3.0,0,8,5,5,7,1,0.875,0.125,4.5,8
80,190599,16,3,13,7.0,0,7,6,3,6,1,0.8571428571428571,0.14285714285714285,4.0,7
81,186444,15,4,14,9.0,0,11,5,3,9,2,0.8181818181818182,0.18181818181818182,6.0,11
82,83499,20,1,13,3.0,0,8,5,5,6,2,0.75,0.25,4.5,8
83,41155,7,6,20,20.0,0,14,12,8,5,9,0.35714285714285715,0.6428571428571429,7.5,14
84,21551,36,2,16,5.0,0,9,8,6,7,2,0.7777777777777778,0.2222222222222222,5.0,9
85,4041,25,5,11,7.0,0,9,8,5,3,6,0.3333333333333333,0.6666666666666666,5.0,9
86,166645,9,6,22,4.0,0,8,6,4,5,3,0.625,0.375,4.5,8
87,155476,6,1,15,4.0,0,15,12,8,5,10,0.3333333333333333,0.6666666666666666,8.0,15
88,102020,4,0,11,7.0,0,23,13,7,15,8,0.6521739130434783,0.34782608695652173,12.0,23
89,105579,47,0,15,2.0,0,5,3,2,5,0,1.0,0.0,3.0,5
90,43798,14,2,16,13.0,0,5,3,3,2,3,0.4,0.6,3.0,5
91,5189,54,0,14,3.0,0,6,5,5,6,0,1.0,0.0,3.5,6
92,56022,13,6,9,6.0,0,25,17,10,16,9,0.64,0.36,13.0,25
93,130239,15,6,10,19.0,0,14,13,9,8,6,0.5714285714285714,0.42857142857142855,7.5,14
94,40375,5,3,16,8.0,0,4,4,4,2,2,0.5,0.5,2.5,4
95,187742,39,5,7,5.0,0,14,11,6,12,2,0.8571428571428571,0.14285714285714285,7.5,14
97,175918,13,0,13,27.0,0,27,18,12,19,8,0.7037037037037037,0.2962962962962963,14.0,27
99,108185,2,6,14,11.0,0,7,6,5,2,5,0.2857142857142857,0.7142857142857143,4.0,7
100,62781,1,2,13,,1,2,2,1,0,2,0.0,1.0,1.5,2
101,18783,33,3,15,6.0,0,12,10,7,10,2,0.8333333333333334,0.16666666666666666,6.5,12
102,4988,8,3,16,30.0,0,10,6,5,3,7,0.3,0.7,5.5,10
103,16694,4,2,9,8.0,0,4,1,1,0,4,0.0,1.0,2.5,4
104,4645,8,5,18,3.0,0,4,4,3,3,1,0.75,0.25,2.5,4
105,178958,27,4,10,30.0,0,12,10,7,8,4,0.6666666666666666,0.3333333333333333,6.5,12
106,161214,10,0,18,30.0,0,34,20,13,24,10,0.7058823529411765,0.29411764705882354,17.5,34
107,141357,33,3,20,6.0,0,7,5,4,7,0,1.0,0.0,4.0,7
108,184205,4,1,20,1.0,0,9,6,5,1,8,0.1111111111111111,0.8888888888888888,5.0,9
109,86865,20,0,9,17.0,0,21,16,11,9,12,0.42857142857142855,0.5714285714285714,11.0,21
110,73241,1,0,15,,1,10,6,4,0,10,0.0,1.0,5.5,10
111,102275,6,3,17,25.0,0,5,5,4,5,0,1.0,0.0,3.0,5
113,128979,2,3,12,30.0,0,7,7,3,1,6,0.14285714285714285,0.8571428571428571,4.0,7
114,91891,1,0,11,,1,10,9,5,0,10,0.0,1.0,5.5,10
115,124725,13,0,9,8.0,0,12,12,7,7,5,0.5833333333333334,0.4166666666666667,6.5,12
116,119087,25,6,18,0.0,0,2,2,2,2,0,1.0,0.0,1.5,2
117,75394,15,5,13,8.0,0,15,13,9,6,9,0.4,0.6,8.0,15
118,136173,20,4,21,3.0,0,4,3,1,3,1,0.75,0.25,2.5,4
119,25967,5,4,11,4.0,0,9,7,6,0,9,0.0,1.0,5.0,9
120,23750,11,6,8,10.0,0,16,10,4,0,16,0.0,1.0,8.5,16
121,93455,30,1,11,4.0,0,5,4,4,4,1,0.8,0.2,3.0,5
122,127081,16,2,1,5.0,0,2,2,1,0,2,0.0,1.0,1.5,2
123,99471,17,5,12,6.0,0,18,12,7,16,2,0.8888888888888888,0.1111111111111111,9.5,18
124,69812,15,5,8,30.0,0,8,6,4,6,2,0.75,0.25,4.5,8
125,66104,21,6,12,5.0,0,26,21,10,26,0,1.0,0.0,13.5,26
126,66138,4,3,15,11.0,0,6,5,5,3,3,0.5,0.5,3.5,6
127,43629,8,6,11,3.0,0,12,9,6,8,4,0.6666666666666666,0.3333333333333333,6.5,12
128,7440,92,1,14,3.0,0,10,9,5,9,1,0.9,0.1,5.5,10
129,169467,7,4,18,3.0,0,18,13,6,10,8,0.5555555555555556,0.4444444444444444,9.5,18
130,16288,1,0,15,,1,14,11,7,0,14,0.0,1.0,7.5,14
131,34858,42,3,10,2.0,0,18,11,6,14,4,0.7777777777777778,0.2222222222222222,9.5,18
132,147650,10,6,12,30.0,0,11,8,6,6,5,0.5454545454545454,0.45454545454545453,6.0,11
133,162224,50,2,9,2.0,0,2,2,2,2,0,1.0,0.0,1.5,2
134,15608,7,1,8,30.0,0,17,14,8,16,1,0.9411764705882353,0.058823529411764705,9.0,17
135,55179,13,2,12,6.0,0,10,4,3,9,1,0.9,0.1,5.5,10
136,184355,12,6,10,6.0,0,4,4,3,0,4,0.0,1.0,2.5,4
138,197422,20,0,16,7.0,0,6,5,4,5,1,0.8333333333333334,0.16666666666666666,3.5,6
139,146988,10,6,18,7.0,0,6,5,4,6,0,1.0,0.0,3.5,6
140,67155,13,3,14,20.0,0,9,9,5,8,1,0.8888888888888888,0.1111111111111111,5.0,9
141,88362,32,4,10,3.0,0,15,9,5,14,1,0.9333333333333333,0.06666666666666667,8.0,15
142,8841,43,4,22,9.0,0,7,7,4,7,0,1.0,0.0,4.0,7
143,130982,7,0,16,7.0,0,25,15,9,15,10,0.6,0.4,13.0,25
144,179300,4,3,15,30.0,0,14,12,6,7,7,0.5,0.5,7.5,14
145,49610,1,4,12,,1,3,3,2,0,3,0.0,1.0,2.0,3
146,21343,43,5,16,7.0,0,13,9,5,12,1,0.9230769230769231,0.07692307692307693,7.0,13
147,181484,16,0,12,20.0,0,12,8,5,4,8,0.3333333333333333,0.6666666666666666,6.5,12
148,41523,27,2,17,5.0,0,14,12,7,10,4,0.7142857142857143,0.2857142857142857,7.5,14
149,51424,8,5,13,1.0,0,3,3,3,1,2,0.3333333333333333,0.6666666666666666,2.0,3
150,126892,4,4,12,2.0,0,3,3,3,1,2,0.3333333333333333,0.6666666666666666,2.0,3
151,191401,15,6,7,7.0,0,4,4,3,3,1,0.75,0.25,2.5,4
152,103040,12,1,10,7.0,0,5,5,4,4,1,0.8,0.2,3.0,5
153,24173,4,4,17,4.0,0,9,7,5,4,5,0.4444444444444444,0.5555555555555556,5.0,9
154,73310,68,6,19,0.0,0,4,3,3,1,3,0.25,0.75,2.5,4
155,97415,8,2,12,2.0,0,6,5,4,4,2,0.6666666666666666,0.3333333333333333,3.5,6
156,111475,7,6,22,20.0,0,5,5,5,3,2,0.6,0.4,3.0,5
157,13055,37,6,17,3.0,0,7,5,4,6,1,0.8571428571428571,0.14285714285714285,4.0,7
158,24721,8,1,15,30.0,0,8,5,3,6,2,0.75,0.25,4.5,8
159,16286,38,4,13,3.0,0,4,4,3,3,1,0.75,0.25,2.5,4
160,181765,9,4,23,5.0,0,5,3,3,2,3,0.4,0.6,3.0,5
161,88526,11,1,23,19.0,0,9,3,3,7,2,0.7777777777777778,0.2222222222222222,5.0,9
162,198222,8,1,9,5.0,0,11,10,7,3,8,0.2727272727272727,0.7272727272727273,6.0,11
163,115844,16,2,14,0.0,0,19,13,8,19,0,1.0,0.0,10.0,19
164,184017,20,1,10,8.0,0,6,6,4,4,2,0.6666666666666666,0.3333333333333333,3.5,6
165,162754,4,2,11,12.0,0,9,9,7,7,2,0.7777777777777778,0.2222222222222222,5.0,9
166,39287,9,0,7,4.0,0,9,8,7,4,5,0.4444444444444444,0.5555555555555556,5.0,9
167,17547,7,0,12,30.0,0,4,4,3,3,1,0.75,0.25,2.5,4
168,117132,18,5,15,2.0,0,6,4,3,4,2,0.6666666666666666,0.3333333333333333,3.5,6
169,22517,3,0,9,14.0,0,9,8,7,3,6,0.3333333333333333,0.6666666666666666,5.0,9
171,204184,2,5,12,30.0,0,2,2,2,0,2,0.0,1.0,1.5,2
172,30618,17,4,8,8.0,0,4,4,4,4,0,1.0,0.0,2.5,4
173,73399,29,6,12,7.0,0,6,6,5,5,1,0.8333333333333334,0.16666666666666666,3.5,6
174,53965,25,5,9,4.0,0,14,12,7,7,7,0.5,0.5,7.5,14
175,10358,42,4,18,2.0,0,14,9,6,8,6,0.5714285714285714,0.42857142857142855,7.5,14
176,4209,7,1,17,16.0,0,10,5,4,6,4,0.6,0.4,5.5,10
177,48308,27,2,16,8.0,0,17,8,4,15,2,0.8823529411764706,0.11764705882352941,9.0,17
178,971,2,3,11,19.0,0,2,2,2,1,1,0.5,0.5,1.5,2
179,84068,4,6,18,4.0,0,6,5,5,3,3,0.5,0.5,3.5,6
180,96385,20,6,19,7.0,0,17,5,3,15,2,0.8823529411764706,0.11764705882352941,9.0,17
181,141062,19,0,16,15.0,0,8,7,5,7,1,0.875,0.125,4.5,8
183,104879,38,5,9,4.0,0,7,2,2,6,1,0.8571428571428571,0.14285714285714285,4.0,7
184,18409,6,0,19,30.0,0,8,7,4,3,5,0.375,0.625,4.5,8
185,172793,72,3,1,2.0,0,10,8,5,3,7,0.3,0.7,5.5,10
186,167393,1,0,16,,1,9,7,5,0,9,0.0,1.0,5.0,9
187,26978,43,5,16,9.0,0,10,8,6,9,1,0.9,0.1,5.5,10
188,58122,18,6,11,2.0,0,6,3,2,5,1,0.8333333333333334,0.16666666666666666,3.5,6
189,150723,5,3,16,6.0,0,5,5,3,3,2,0.6,0.4,3.0,5
190,189157,3,1,13,30.0,0,11,8,4,1,10,0.09090909090909091,0.9090909090909091,6.0,11
191,176417,44,3,2,6.0,0,5,5,4,5,0,1.0,0.0,3.0,5
192,189954,44,5,14,8.0,0,15,11,8,7,8,0.4666666666666667,0.5333333333333333,8.0,15
193,133810,8,0,11,7.0,0,12,11,7,5,7,0.4166666666666667,0.5833333333333334,6.5,12
194,48052,30,0,13,1.0,0,8,8,7,2,6,0.25,0.75,4.5,8
195,14264,38,0,16,15.0,0,25,20,10,19,6,0.76,0.24,13.0,25
196,177113,6,0,16,24.0,0,10,8,4,3,7,0.3,0.7,5.5,10
197,92707,52,5,20,7.0,0,10,8,9,10,0,1.0,0.0,5.5,10
198,21336,10,1,9,30.0,0,10,9,7,5,5,0.5,0.5,5.5,10
199,143951,5,3,10,16.0,0,7,7,7,2,5,0.2857142857142857,0.7142857142857143,4.0,7
200,21425,2,5,22,21.0,0,3,3,2,1,2,0.3333333333333333,0.6666666666666666,2.0,3
201,185440,4,0,15,6.0,0,8,7,6,1,7,0.125,0.875,4.5,8
202,154766,8,1,8,4.0,0,1,1,1,0,1,0.0,1.0,1.0,1
203,75564,11,4,14,8.0,0,1,1,1,1,0,1.0,0.0,1.0,1
204,115481,74,6,9,3.0,0,6,4,4,6,0,1.0,0.0,3.5,6
205,190709,14,4,14,6.0,0,3,2,2,3,0,1.0,0.0,2.0,3
206,72973,50,0,9,3.0,0,7,5,5,4,3,0.5714285714285714,0.42857142857142855,4.0,7
207,100208,3,5,14,6.0,0,6,6,5,1,5,0.16666666666666666,0.8333333333333334,3.5,6
208,68303,7,4,13,6.0,0,14,12,8,12,2,0.8571428571428571,0.14285714285714285,7.5,14
209,40286,4,0,17,21.0,0,5,5,5,3,2,0.6,0.4,3.0,5
210,43756,26,2,22,14.0,0,17,10,7,10,7,0.5882352941176471,0.4117647058823529,9.0,17
211,183969,1,2,14,,1,2,2,2,0,2,0.0,1.0,1.5,2
212,83727,17,1,6,5.0,0,4,3,2,3,1,0.75,0.25,2.5,4
213,33094,16,3,18,9.0,0,12,7,6,11,1,0.9166666666666666,0.08333333333333333,6.5,12
214,503,5,0,16,9.0,0,9,8,7,3,6,0.3333333333333333,0.6666666666666666,5.0,9
215,100052,1,1,11,,1,2,2,2,0,2,0.0,1.0,1.5,2
216,102339,94,5,15,2.0,0,8,7,7,8,0,1.0,0.0,4.5,8
217,112125,2,0,8,21.0,0,3,3,3,2,1,0.6666666666666666,0.3333333333333333,2.0,3
219,185730,12,0,13,4.0,0,4,4,2,4,0,1.0,0.0,2.5,4
220,63952,26,3,17,6.0,0,3,3,2,3,0,1.0,0.0,2.0,3
221,177947,1,5,8,,1,9,8,7,0,9,0.0,1.0,5.0,9
222,145501,27,1,11,8.0,0,18,12,8,17,1,0.9444444444444444,0.05555555555555555,9.5,18
223,169586,40,0,9,2.0,0,27,17,9,17,10,0.6296296296296297,0.37037037037037035,14.0,27
224,109534,6,0,14,13.0,0,17,13,8,14,3,0.8235294117647058,0.17647058823529413,9.0,17
225,130657,9,1,9,22.0,0,11,7,4,10,1,0.9090909090909091,0.09090909090909091,6.0,11
227,100142,35,1,21,2.0,0,6,5,4,6,0,1.0,0.0,3.5,6
228,156462,4,1,16,26.0,0,31,20,9,15,16,0.4838709677419355,0.5161290322580645,16.0,31
229,47358,7,0,22,8.0,0,11,9,5,3,8,0.2727272727272727,0.7272727272727273,6.0,11
230,137575,7,2,9,7.0,0,7,7,5,4,3,0.5714285714285714,0.42857142857142855,4.0,7
231,147443,2,1,18,30.0,0,24,14,7,6,18,0.25,0.75,12.5,24
232,56896,1,6,14,,1,22,17,9,0,22,0.0,1.0,11.5,22
233,29724,20,4,17,8.0,0,3,3,2,3,0,1.0,0.0,2.0,3
234,96828,55,1,12,9.0,0,10,8,7,8,2,0.8,0.2,5.5,10
235,58701,20,5,9,9.0,0,12,10,7,11,1,0.9166666666666666,0.08333333333333333,6.5,12
236,97664,2,0,12,10.0,0,11,10,5,4,7,0.36363636363636365,0.6363636363636364,6.0,11
237,36603,1,2,17,,1,1,1,1,0,1,0.0,1.0,1.0,1
238,92123,4,6,9,4.0,0,4,2,2,3,1,0.75,0.25,2.5,4
239,51178,39,4,9,9.0,0,18,14,9,18,0,1.0,0.0,9.5,18
240,183623,64,3,10,3.0,0,14,10,7,10,4,0.7142857142857143,0.2857142857142857,7.5,14
241,131535,2,2,18,13.0,0,5,5,4,2,3,0.4,0.6,3.0,5
242,167125,11,4,13,7.0,0,3,2,1,2,1,0.6666666666666666,0.3333333333333333,2.0,3
243,62481,3,2,10,30.0,0,6,5,4,1,5,0.16666666666666666,0.8333333333333334,3.5,6
244,168855,37,6,18,9.0,0,10,7,6,9,1,0.9,0.1,5.5,10
245,70322,1,4,9,,1,2,1,1,0,2,0.0,1.0,1.5,2
246,97039,7,3,4,3.0,0,3,3,1,3,0,1.0,0.0,2.0,3
247,82764,15,5,10,22.0,0,16,14,9,6,10,0.375,0.625,8.5,16
248,30576,8,5,10,9.0,0,14,13,8,8,6,0.5714285714285714,0.42857142857142855,7.5,14
249,81951,3,6,8,6.0,0,13,12,7,4,9,0.3076923076923077,0.6923076923076923,7.0,13
250,34840,13,1,7,17.0,0,2,2,2,2,0,1.0,0.0,1.5,2
251,155188,6,1,11,8.0,0,25,14,11,10,15,0.4,0.6,13.0,25
252,78634,7,3,18,7.0,0,8,5,3,5,3,0.625,0.375,4.5,8
253,44802,7,2,15,7.0,0,3,3,3,1,2,0.3333333333333333,0.6666666666666666,2.0,3
254,12711,43,6,16,5.0,0,32,19,10,29,3,0.90625,0.09375,16.5,32
255,4076,30,0,20,3.0,0,15,7,5,11,4,0.7333333333333333,0.26666666666666666,8.0,15
256,95044,14,5,13,13.0,0,17,12,9,9,8,0.5294117647058824,0.47058823529411764,9.0,17
258,184598,10,1,9,30.0,0,15,6,3,9,6,0.6,0.4,8.0,15
259,52205,7,1,12,10.0,0,13,7,4,5,8,0.38461538461538464,0.6153846153846154,7.0,13
260,21630,7,5,10,11.0,0,16,12,8,13,3,0.8125,0.1875,8.5,16
261,153543,14,0,13,9.0,0,10,10,7,8,2,0.8,0.2,5.5,10
262,122266,2,5,19,15.0,0,4,3,2,0,4,0.0,1.0,2.5,4
263,62875,8,1,17,25.0,0,4,4,4,1,3,0.25,0.75,2.5,4
264,93764,30,5,15,21.0,0,4,3,3,3,1,0.75,0.25,2.5,4
265,139432,38,0,9,9.0,0,36,23,12,25,11,0.6944444444444444,0.3055555555555556,18.5,36
266,99546,2,5,7,28.0,0,9,8,4,4,5,0.4444444444444444,0.5555555555555556,5.0,9
267,25414,53,0,9,7.0,0,9,6,5,6,3,0.6666666666666666,0.3333333333333333,5.0,9
268,181567,1,5,18,,1,1,1,1,0,1,0.0,1.0,1.0,1
269,44103,77,0,11,1.0,0,1,1,1,1,0,1.0,0.0,1.0,1
270,201517,1,3,10,,1,6,5,4,0,6,0.0,1.0,3.5,6
271,119186,7,0,18,27.0,0,4,4,1,3,1,0.75,0.25,2.5,4
272,127211,10,5,14,4.0,0,20,16,9,9,11,0.45,0.55,10.5,20
273,171199,9,0,14,11.0,0,8,6,4,1,7,0.125,0.875,4.5,8
274,64392,8,2,9,15.0,0,13,10,6,11,2,0.8461538461538461,0.15384615384615385,7.0,13
275,26030,51,1,10,2.0,0,13,10,8,11,2,0.8461538461538461,0.15384615384615385,7.0,13
276,46527,34,6,11,6.0,0,8,5,4,8,0,1.0,0.0,4.5,8
277,109712,4,0,1,7.0,0,9,5,3,7,2,0.7777777777777778,0.2222222222222222,5.0,9
278,182817,3,6,14,30.0,0,6,4,4,1,5,0.16666666666666666,0.8333333333333334,3.5,6
279,185432,13,0,12,21.0,0,15,10,5,14,1,0.9333333333333333,0.06666666666666667,8.0,15
280,1059,27,1,10,6.0,0,29,17,8,27,2,0.9310344827586207,0.06896551724137931,15.0,29
281,200563,14,2,16,15.0,0,10,4,2,10,0,1.0,0.0,5.5,10
282,8456,11,0,12,14.0,0,4,3,2,2,2,0.5,0.5,2.5,4
283,89598,10,1,13,2.0,0,4,4,3,2,2,0.5,0.5,2.5,4
284,143768,33,4,23,2.0,0,10,9,6,10,0,1.0,0.0,5.5,10
285,57561,11,5,18,10.0,0,6,6,5,6,0,1.0,0.0,3.5,6
286,91926,2,1,12,30.0,0,16,11,5,9,7,0.5625,0.4375,8.5,16
287,100513,3,1,13,5.0,0,7,7,6,0,7,0.0,1.0,4.0,7
288,137357,41,2,7,5.0,0,13,7,6,13,0,1.0,0.0,7.0,13
289,5927,14,0,8,7.0,0,19,12,7,14,5,0.7368421052631579,0.2631578947368421,10.0,19
290,67140,14,0,17,8.0,0,6,5,5,6,0,1.0,0.0,3.5,6
291,66046,8,4,22,6.0,0,8,7,5,8,0,1.0,0.0,4.5,8
292,29552,15,3,16,7.0,0,14,8,4,9,5,0.6428571428571429,0.35714285714285715,7.5,14
293,168853,2,4,9,4.0,0,18,15,8,4,14,0.2222222222222222,0.7777777777777778,9.5,18
294,54538,33,0,12,7.0,0,3,2,2,3,0,1.0,0.0,2.0,3
295,186873,12,2,10,11.0,0,4,4,4,3,1,0.75,0.25,2.5,4
296,92052,36,1,17,0.0,0,4,4,3,0,4,0.0,1.0,2.5,4
297,29096,1,0,11,,1,16,11,8,0,16,0.0,1.0,8.5,16
298,35569,6,5,17,5.0,0,6,6,4,4,2,0.6666666666666666,0.3333333333333333,3.5,6
299,10546,12,2,10,6.0,0,7,4,2,4,3,0.5714285714285714,0.42857142857142855,4.0,7
300,76870,13,6,17,4.0,0,4,4,2,4,0,1.0,0.0,2.5,4
301,66567,10,0,10,8.0,0,6,3,2,6,0,1.0,0.0,3.5,6
302,54878,12,5,12,8.0,0,13,8,3,2,11,0.15384615384615385,0.8461538461538461,7.0,13
303,198240,30,3,21,5.0,0,3,3,2,2,1,0.6666666666666666,0.3333333333333333,2.0,3
304,55713,58,1,13,2.0,0,6,5,4,6,0,1.0,0.0,3.5,6
305,150329,21,3,15,5.0,0,7,3,2,7,0,1.0,0.0,4.0,7
306,166655,33,2,14,10.0,0,17,14,7,17,0,1.0,0.0,9.0,17
307,177808,2,4,11,10.0,0,6,6,4,4,2,0.6666666666666666,0.3333333333333333,3.5,6
308,176010,8,0,17,10.0,0,11,7,6,7,4,0.6363636363636364,0.36363636363636365,6.0,11
309,126109,17,5,10,30.0,0,1,1,1,0,1,0.0,1.0,1.0,1
310,101311,2,3,10,10.0,0,14,12,9,2,12,0.14285714285714285,0.8571428571428571,7.5,14
311,25023,17,2,11,30.0,0,5,5,4,2,3,0.4,0.6,3.0,5
312,169114,21,4,19,4.0,0,3,2,2,1,2,0.3333333333333333,0.6666666666666666,2.0,3
314,174117,4,5,8,12.0,0,3,3,3,3,0,1.0,0.0,2.0,3
315,133849,33,2,16,3.0,0,38,19,10,29,9,0.7631578947368421,0.23684210526315788,19.5,38
316,190581,6,1,11,30.0,0,7,6,4,5,2,0.7142857142857143,0.2857142857142857,4.0,7
317,179469,4,0,18,30.0,0,21,13,7,1,20,0.047619047619047616,0.9523809523809523,11.0,21
318,108940,23,4,22,8.0,0,5,4,4,3,2,0.6,0.4,3.0,5
319,102031,6,4,21,7.0,0,9,5,3,5,4,0.5555555555555556,0.4444444444444444,5.0,9
320,17669,1,1,15,,1,6,5,4,0,6,0.0,1.0,3.5,6
